City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Max_Temp,Cloudiness ,Wind_Speed
Oloron-Sainte-Marie,43.1944,-0.6107,0,89,0,0,FR,1634949177,51.73,89.0,2.42
Chui,-33.6971,-53.4616,0,75,0,0,UY,1634948638,57.11,48.0,5.93
Esso,55.9333,158.7,0,87,0,0,RU,1634949177,27.41,55.0,2.73
Rikitea,-23.1203,-134.9692,0,82,0,0,PF,1634949178,74.1,11.0,20.78
Garissa,-0.4536,39.6401,0,74,0,0,KE,1634949178,74.86,63.0,12.73
Saskylakh,71.9167,114.0833,0,100,0,0,RU,1634948669,-10.62,94.0,3.04
Hue,16.4667,107.6,0,100,0,0,VN,1634949178,68.11,75.0,6.91
Ngunguru,-35.6167,174.5,0,94,0,0,NZ,1634949179,59.16,100.0,23.69
Amarante do Maranhão,-5.5667,-46.7422,0,94,0,0,BR,1634949179,73.31,100.0,0.63
East London,-33.0153,27.9116,0,83,0,0,ZA,1634948331,63.41,54.0,8.86
taolanaro,0.0,0.0,0,0,0,0,,,,,
George Town,5.4112,100.3354,0,90,0,0,MY,1634948535,80.53,20.0,3.44
Nabire,-3.3667,135.4833,0,91,0,0,ID,1634949179,76.06,100.0,2.46
Hithadhoo,-0.6,73.0833,0,73,0,0,MV,1634948638,82.04,48.0,11.23
Bluff,-46.6,168.3333,0,65,0,0,NZ,1634948596,56.75,100.0,6.38
Avarua,-21.2078,-159.775,0,60,0,0,CK,1634948391,75.25,20.0,8.05
Touros,-5.1989,-35.4608,0,80,0,0,BR,1634948325,81.5,60.0,10.13
Pangnirtung,66.1451,-65.7125,0,57,0,0,CA,1634949180,24.12,96.0,7.9
Albany,42.6001,-73.9662,0,75,0,0,US,1634948598,51.46,87.0,6.38
Maragogi,-9.0122,-35.2225,0,84,0,0,BR,1634948954,77.79,5.0,7.47
Broome,42.2506,-75.833,0,74,0,0,US,1634948935,47.61,1.0,6.91
Laas,46.6166,10.7002,0,83,0,0,IT,1634949180,47.66,18.0,4.07
Cidreira,-30.1811,-50.2056,0,87,0,0,BR,1634948338,65.37,0.0,9.55
Sørland,67.667,12.6934,0,50,0,0,NO,1634948597,40.68,100.0,2.48
Mataura,-46.1927,168.8643,0,44,0,0,NZ,1634948396,69.53,98.0,1.32
Solnechnyy,50.7214,136.6319,0,65,0,0,RU,1634949181,39.63,96.0,3.0
Tual,-5.6667,132.75,0,71,0,0,ID,1634948412,83.08,92.0,8.3
Mitsamiouli,-11.3847,43.2844,0,77,0,0,KM,1634949181,76.48,85.0,8.05
Karpathos,35.507,27.2132,0,82,0,0,GR,1634949182,64.36,4.0,4.61
Havøysund,70.9963,24.6622,0,62,0,0,NO,1634949182,32.88,100.0,12.39
Pingliang,35.5392,106.6861,0,77,0,0,CN,1634949182,43.2,100.0,4.27
Bogota,4.6097,-74.0817,0,100,0,0,CO,1634949070,54.91,75.0,3.44
Lagoa,39.05,-27.9833,0,85,0,0,PT,1634948615,68.61,63.0,13.78
potgietersrus,0.0,0.0,0,0,0,0,,,,,
São Bernardo,-3.3614,-42.4178,0,91,0,0,BR,1634949183,75.76,58.0,3.62
Odienné,9.51,-7.5692,0,96,0,0,CI,1634949183,71.64,4.0,3.4
Hermanus,-34.4187,19.2345,0,87,0,0,ZA,1634948597,58.8,100.0,30.58
Norman Wells,65.282,-126.8329,0,65,0,0,CA,1634948425,44.64,75.0,18.41
Ushuaia,-54.8,-68.3,0,70,0,0,AR,1634948517,42.46,20.0,8.05
Cape Town,-33.9258,18.4232,0,85,0,0,ZA,1634948415,58.08,75.0,5.99
Dingle,10.9995,122.6711,0,86,0,0,PH,1634948429,80.29,63.0,9.48
Castro,-24.7911,-50.0119,0,77,0,0,BR,1634948332,57.06,0.0,3.47
Las Lomas,8.4333,-82.4,0,88,0,0,PA,1634949184,79.27,75.0,3.44
Teya,60.3778,92.6267,0,80,0,0,RU,1634949184,32.86,96.0,14.07
Longyearbyen,78.2186,15.6401,0,86,0,0,SJ,1634948386,15.64,20.0,1.14
Mackay,-21.15,149.2,0,62,0,0,AU,1634949185,92.68,40.0,16.11
Tessalit,20.1986,1.0114,0,22,0,0,ML,1634948686,81.0,0.0,8.3
